Feature	CPF	Disting	Distinct	Feat_Length_Including_Spaces	Number_Of_Words	BR_Label	Display
a_baby_bird	1	D	1.000	11	3	taxonomic	a baby bird
a_baby_cow	1	D	1.000	10	3	taxonomic	a baby cow
a_baby_deer	1	D	1.000	11	3	taxonomic	a baby deer
a_baby_fish	1	D	1.000	11	3	taxonomic	a baby fish
a_baby_is_a_kitten	1	D	1.000	18	5	taxonomic	a baby is a kitten
a_baby_is_a_lamb	1	D	1.000	16	5	taxonomic	a baby is a lamb
a_baby_is_a_piglet	1	D	1.000	18	5	taxonomic	a baby is a piglet
a_bag	1	D	1.000	5	2	taxonomic	a bag
a_barrier	1	D	1.000	9	2	taxonomic	a barrier
a_basin	1	D	1.000	7	2	taxonomic	a basin
a_berry	3	ND	0.333	7	2	taxonomic	a berry
a_bike	2	D	0.500	6	2	taxonomic	a bike
a_bikini	1	D	1.000	8	2	taxonomic	a bikini
a_bird	39	ND	0.026	6	2	taxonomic	a bird
a_birth_stone	1	D	1.000	13	3	taxonomic	a birth stone
a_board	1	D	1.000	7	2	taxonomic	a board
a_boat	4	ND	0.250	6	2	taxonomic	a boat
a_bolts	1	D	1.000	7	2	taxonomic	a bolts
a_branch	1	D	1.000	8	2	taxonomic	a branch
a_bug	3	ND	0.333	5	2	taxonomic	a bug
a_building	6	ND	0.167	10	2	taxonomic	a building
a_cab	1	D	1.000	5	2	taxonomic	a cab
a_cape	1	D	1.000	6	2	taxonomic	a cape
a_car	4	ND	0.250	5	2	taxonomic	a car
a_carnivore	11	ND	0.091	11	2	taxonomic	a carnivore
a_cat	5	ND	0.200	5	2	taxonomic	a cat
a_chair	1	D	1.000	7	2	taxonomic	a chair
a_chicken	1	D	1.000	9	2	taxonomic	a chicken
a_Chinese_language	1	D	1.000	18	3	taxonomic	a Chinese language
a_church	1	D	1.000	8	2	taxonomic	a church
a_coat	1	D	1.000	6	2	taxonomic	a coat
a_colour	1	D	1.000	8	2	taxonomic	a colour
a_coniferous	2	D	0.500	12	2	taxonomic	a coniferous
a_container	5	ND	0.200	11	2	taxonomic	a container
a_cow	1	D	1.000	5	2	taxonomic	a cow
a_crustacean	2	D	0.500	12	2	taxonomic	a crustacean
a_cup	1	D	1.000	5	2	taxonomic	a cup
a_curtains	1	D	1.000	10	2	taxonomic	a curtains
a_cutlery	1	D	1.000	9	2	taxonomic	a cutlery
a_dairy_product	1	D	1.000	15	3	taxonomic	a dairy product
a_deer	1	D	1.000	6	2	taxonomic	a deer
a_desk	1	D	1.000	6	2	taxonomic	a desk
a_dessert	2	D	0.500	9	2	taxonomic	a dessert
a_dish	2	D	0.500	6	2	taxonomic	a dish
a_dog	1	D	1.000	5	2	taxonomic	a dog
a_dress	1	D	1.000	7	2	taxonomic	a dress
a_dresser	1	D	1.000	9	2	taxonomic	a dresser
a_drink	1	D	1.000	7	2	taxonomic	a drink
a_fashion_accessory	3	ND	0.333	19	3	taxonomic	a fashion accessory
a_faucet	1	D	1.000	8	2	taxonomic	a faucet
a_feline	2	D	0.500	8	2	taxonomic	a feline
a_fish	16	ND	0.063	6	2	taxonomic	a fish
a_flower	1	D	1.000	8	2	taxonomic	a flower
a_food	9	ND	0.111	6	2	taxonomic	a food
a_footwear	2	D	0.500	10	2	taxonomic	a footwear
a_frog	1	D	1.000	6	2	taxonomic	a frog
a_fruit	29	ND	0.034	7	2	taxonomic	a fruit
a_fungus	1	D	1.000	8	2	taxonomic	a fungus
a_grain	1	D	1.000	7	2	taxonomic	a grain
a_gun	6	ND	0.167	5	2	taxonomic	a gun
a_hardware	1	D	1.000	10	2	taxonomic	a hardware
a_hat	1	D	1.000	5	2	taxonomic	a hat
a_herb	1	D	1.000	6	2	taxonomic	a herb
a_herbivore	5	ND	0.200	11	2	taxonomic	a herbivore
a_horse	2	D	0.500	7	2	taxonomic	a horse
a_hotel	1	D	1.000	7	2	taxonomic	a hotel
a_house	6	ND	0.167	7	2	taxonomic	a house
a_jacket	1	D	1.000	8	2	taxonomic	a jacket
a_jewel	1	D	1.000	7	2	taxonomic	a jewel
a_jewelry	3	ND	0.333	9	2	taxonomic	a jewelry
a_knife	2	D	0.500	7	2	taxonomic	a knife
a_light_fixture	1	D	1.000	15	3	taxonomic	a light fixture
a_lingerie	1	D	1.000	10	2	taxonomic	a lingerie
a_lizard	2	D	0.500	8	2	taxonomic	a lizard
a_loaf	1	D	1.000	6	2	taxonomic	a loaf
a_long_knife	1	D	1.000	12	3	taxonomic	a long knife
a_machine	3	ND	0.333	9	2	taxonomic	a machine
a_male_chicken	1	D	1.000	14	3	taxonomic	a male chicken
a_mammal	42	ND	0.024	8	2	taxonomic	a mammal
a_melon	2	D	0.500	7	2	taxonomic	a melon
a_mittens	1	D	1.000	9	2	taxonomic	a mittens
a_mug	1	D	1.000	5	2	taxonomic	a mug
a_music	1	D	1.000	7	2	taxonomic	a music
a_musical_instrument	18	ND	0.056	20	3	taxonomic	a musical instrument
a_nut	1	D	1.000	5	2	taxonomic	a nut
a_pan	1	D	1.000	5	2	taxonomic	a pan
a_pants	1	D	1.000	7	2	taxonomic	a pants
a_pantyhose	1	D	1.000	11	2	taxonomic	a pantyhose
a_paper	1	D	1.000	7	2	taxonomic	a paper
a_pest	1	D	1.000	6	2	taxonomic	a pest
a_pet	11	ND	0.091	5	2	taxonomic	a pet
a_piano	1	D	1.000	7	2	taxonomic	a piano
a_pillow	1	D	1.000	8	2	taxonomic	a pillow
