,category,type,id,question,expected,actual
0,pineapple,nonvisual,1,Is it an animal?,n,n
1,elephant,nonvisual,2,Is it a reptile?,n,n
2,carrot,nonvisual,3,Does it live in swamps?,n,n
3,zebra,nonvisual,4,Does it live in water?,n,n
4,swan,nonvisual,5,Does it eat people?,n,n
5,train,visual,1,Is it green?,n,n
6,pineapple,visual,2,Is it long?,n,n
7,elephant,visual,3,Does it have scales?,n,n
8,penguin,visual,4,Does it have a tail?,n,n
9,zebra,visual,5,Does it have jaws?,n,n
10,chair,nonvisual,1,Is it a fruit?,n,n
11,donkey,nonvisual,2,Does it grow on trees?,n,n
12,dog,nonvisual,3,Is it eaten in pies?,n,n
13,chair,nonvisual,4,Is it nutritious?,n,n
14,table,nonvisual,5,Is it used for cider?,n,n
15,zebra,visual,1,Is it red?,n,n
16,giraffe,visual,2,Is it green?,n,n
17,camel,visual,3,Does it have seeds?,n,n
18,toad,visual,4,Is it round?,n,n
19,tiger,visual,5,Does it have a core?,n,n
20,train,nonvisual,1,Is it a fruit?,n,n
21,lion,nonvisual,2,Does it taste good?,n,n
22,train,nonvisual,3,Does it grow in tropical climates?,n,n
23,table,nonvisual,4,Is it healthy?,n,n
24,deer,visual,1,Is it yellow?,n,n
25,chair,visual,2,Is it long?,n,n
26,toad,visual,3,Does it have a peel?,n,n
27,raccoon,visual,4,Does it have a skin?,n,n
28,strawberry,nonvisual,1,Is is used for riding?,n,n
29,pineapple,nonvisual,2,Is it used for racing?,n,n
30,banana,nonvisual,3,Does it have different speeds?,n,n
31,apple,nonvisual,4,Is it fast?,n,n
32,toad,visual,1,Does it have handle bars?,n,n
33,pineapple,visual,2,Does it have a seat?,n,n
34,mouse,visual,3,Does it have gears?,n,n
35,rabbit,visual,4,Is it made of metal?,n,n
36,carrot,nonvisual,1,Is it used for holding things?,n,n
37,chicken,nonvisual,2,Is it used for holding liquids?,n,n
38,banana,nonvisual,3,Is it a container?,n,n
39,penguin,nonvisual,4,Is it breakable?,n,n
40,raccoon,nonvisual,5,Is it used for holding beer?,n,n
41,pig,visual,1,Is it made of glass?,n,n
42,bike,visual,2,Is it made of plastic?,n,n
43,deer,visual,3,Does it have a lid?,n,n
44,table,visual,4,Does it have a neck?,n,n
45,alligator,visual,5,Does it have a cork?,n,n
46,donkey,nonvisual,1,Does it live in the desert?,n,n
47,mouse,nonvisual,2,Does it drink water?,n,n
48,swan,nonvisual,3,Is it used by riding?,n,n
49,bike,nonvisual,4,Is it a mammal?,n,n
50,raccoon,nonvisual,5,Does it spit?,n,n
51,swan,visual,1,Does it have a hump?,n,n
52,carrot,visual,2,Is it brown?,n,n
53,deer,visual,3,Does it have legs?,n,n
54,mouse,visual,4,Is it large?,n,n
55,rabbit,visual,5,Is it beige?,n,n
56,jacket,nonvisual,1,Is it a vegetable?,n,n
57,zebra,nonvisual,2,Is it eaten by rabbits?,n,n
