cue,ftype,qid,question,response
alligator,nonvisual,1,Is it an animal?,yes
alligator,nonvisual,2,Is it a reptile?,yes
alligator,nonvisual,3,Does it live in swamps?,yes
alligator,nonvisual,4,Does it live in water?,yes
alligator,nonvisual,5,Does it eat people?,yes
alligator,visual,1,Is it green?,yes
alligator,visual,2,Is it long?,yes
alligator,visual,3,Does it have scales?,yes
alligator,visual,4,Does it have a tail?,yes
alligator,visual,5,Does it have jaws?,yes
apple,nonvisual,1,Is it a fruit?,yes
apple,nonvisual,2,Does it grow on trees?,yes
apple,nonvisual,3,Is it eaten in pies?,yes
apple,nonvisual,4,Is it nutritious?,yes
apple,nonvisual,5,Is it used for cider?,yes
apple,visual,1,Is it red?,yes
apple,visual,2,Is it green?,yes
apple,visual,3,Does it have seeds?,yes
apple,visual,4,Is it round?,yes
apple,visual,5,Does it have a core?,yes
banana,nonvisual,1,Is it a fruit?,yes
banana,nonvisual,2,Does it taste good?,yes
banana,nonvisual,3,Does it grow in tropical climates?,yes
banana,nonvisual,4,Is it healthy?,yes
banana,visual,1,Is it yellow?,yes
banana,visual,2,Is it long?,yes
banana,visual,3,Does it have a peel?,yes
banana,visual,4,Does it have a skin?,yes
bike,nonvisual,1,Is is used for riding?,yes
bike,nonvisual,2,Is it used for racing?,yes
bike,nonvisual,3,Does it have different speeds?,yes
bike,nonvisual,4,Is it fast?,yes
bike,visual,1,Does it have handle bars?,yes
bike,visual,2,Does it have a seat?,yes
bike,visual,3,Does it have gears?,yes
bike,visual,4,Is it made of metal?,yes
bottle,nonvisual,1,Is it used for holding things?,yes
bottle,nonvisual,2,Is it used for holding liquids?,yes
bottle,nonvisual,3,Is it a container?,yes
bottle,nonvisual,4,Is it breakable?,yes
bottle,nonvisual,5,Is it used for holding beer?,yes
bottle,visual,1,Is it made of glass?,yes
bottle,visual,2,Is it made of plastic?,yes
bottle,visual,3,Does it have a lid?,yes
bottle,visual,4,Does it have a neck?,yes
bottle,visual,5,Does it have a cork?,yes
camel,nonvisual,1,Does it live in the desert?,yes
camel,nonvisual,2,Does it drink water?,yes
camel,nonvisual,3,Is it used by riding?,yes
camel,nonvisual,4,Is it a mammal?,yes
camel,nonvisual,5,Does it spit?,yes
camel,visual,1,Does it have a hump?,yes
camel,visual,2,Is it brown?,yes
camel,visual,3,Does it have legs?,yes
camel,visual,4,Is it large?,yes
camel,visual,5,Is it beige?,yes
carrot,nonvisual,1,Is it a vegetable?,yes
carrot,nonvisual,2,Is it eaten by rabbits?,yes
carrot,nonvisual,3,Does it grow underground?,yes
carrot,nonvisual,4,Is it a root?,yes
carrot,visual,1,Is it orange?,yes
carrot,visual,2,Does it have a top?,yes
carrot,visual,3,Is it long?,yes
carrot,visual,4,Does it have a pointed end?,yes
chair,nonvisual,1,Is it used for sitting on?,yes
chair,nonvisual,2,Is it furniture?,yes
chair,nonvisual,3,Is it comfortable?,yes
chair,nonvisual,4,Is it used for relaxing?,yes
chair,nonvisual,5,Is it found at tables?,yes
chair,visual,1,Does it have legs?,yes
chair,visual,2,Is it made of wood?,yes
chair,visual,3,Does it have armrests?,yes
chair,visual,4,Does it have a seat?,yes
chair,visual,5,Does it have a cushion?,yes
chicken,nonvisual,1,Does it lay eggs?,yes
chicken,nonvisual,2,Does it live on a farm?,yes
